"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2013","128.8","116.4","133.5","98.1","","-7.48%"
"04/01/2013","139.2","104.0","230.0","68.4","","49.66%"
"03/01/2013","93.0","34.5","93.0","34.3","","178.70%"
"02/01/2013","33.4","20.5","33.4","19.6","","63.55%"
"01/01/2013","20.4","13.3","20.4","13.3","","51.07%"
"12/01/2012","13.5","12.6","13.7","12.5","","7.56%"
"11/01/2012","12.6","10.6","12.6","10.5","","12.14%"
"10/01/2012","11.2","12.4","12.9","10.2","","-9.68%"
"09/01/2012","12.4","10.0","12.6","10.0","","22.05%"
"08/01/2012","10.2","9.6","13.5","8.0","","8.66%"
"07/01/2012","9.4","6.6","9.4","6.4","","39.76%"
"06/01/2012","6.7","5.3","6.7","5.2","","29.15%"
"05/01/2012","5.2","5.0","5.2","4.8","","4.65%"
"04/01/2012","4.9","4.8","5.3","4.7","","0.00%"
"03/01/2012","4.9","4.9","5.4","4.6","","0.00%"
